Date,Product_Name,Match_Type,Impressions,Clicks,Spend,Sales,Orders,Current_Bid,Actual_CPC,Suggested_Bid_Min,Suggested_Bid_Max,ACOS_Current,Target_ACOS_Goal,Conversion_Rate,CTR,Competitor_Price,Inventory_Level,Day_Type,Optimal_Bid,My_Rating,Comp_Rating,Comp_Review_Count,Price_Gap,Rating_Gap
2026-01-01,Aloe vera juice,Exact,1818,16,410.56,0,0,33.51,25.66,17.96,38.49,0.0,20.0,0.0566,0.009,468,222,Weekday,17.96,3.8,3.6,1304,-26,0.19999999999999973
2026-01-01,Aloe vera juice,Phrase,3341,73,1802.37,1326,3,28.15,24.69,17.28,37.04,135.93,20.0,0.0492,0.0219,414,81,Weekday,17.28,3.8,3.7,4559,28,0.09999999999999964
2026-01-01,Aloe vera juice,Broad,2707,20,440.2,0,0,24.63,22.01,15.41,33.02,0.0,20.0,0.0388,0.0074,410,70,Weekday,15.41,3.8,4.2,1729,32,-0.40000000000000036
2026-01-01,Graviola,Exact,1901,30,487.5,606,1,17.6,16.25,11.38,24.38,80.45,20.0,0.0464,0.0159,630,8,Weekday,11.38,4.0,4.3,2547,-24,-0.2999999999999998
2026-01-01,Graviola,Phrase,1084,24,494.88,606,1,22.89,20.62,14.43,30.93,81.66,20.0,0.0491,0.0223,577,291,Weekday,14.43,4.0,3.9,107,29,0.10000000000000009
2026-01-01,Graviola,Broad,2104,14,397.74,0,0,34.36,28.41,19.89,42.62,0.0,20.0,0.0472,0.007,578,76,Weekday,19.89,4.0,4.0,735,28,0.0
2026-01-01,Eco ensulin,Exact,2307,26,496.6,2382,2,27.28,19.1,13.37,28.65,20.85,20.0,0.0802,0.0116,1173,148,Weekday,19.1,4.2,4.1,671,18,0.10000000000000053
2026-01-01,Eco ensulin,Phrase,1947,23,700.35,2382,2,40.18,30.45,21.31,45.67,29.4,20.0,0.0935,0.0122,1226,268,Weekday,22.27,4.2,3.7,969,-35,0.5
2026-01-01,Eco ensulin,Broad,1288,32,650.24,3573,3,22.01,20.32,14.22,30.48,18.2,20.0,0.0964,0.0249,1235,189,Weekday,22.96,4.2,3.6,1696,-44,0.6000000000000001
2026-01-01,Curcumin C3,Exact,4053,36,503.64,1896,2,15.73,13.99,9.79,20.98,26.56,20.0,0.0637,0.009,985,234,Weekday,12.08,4.5,4.0,3718,-37,0.5
2026-01-01,Curcumin C3,Phrase,3268,33,820.71,948,1,31.24,24.87,17.41,37.3,86.57,20.0,0.0427,0.0101,935,250,Weekday,17.41,4.5,4.8,4273,13,-0.2999999999999998
