Date,Product_Name,Keyword,Match_Type,Impressions,Clicks,Spend,Sales,Orders,Current_Bid,Actual_CPC,Suggested_Bid_Min,Suggested_Bid_Max,ACOS_Current,Target_ACOS_Goal,Conversion_Rate,CTR,Unit_Price,Competitor_Price,Inventory_Level,Day_Type,Optimal_Bid,My_Rating,Comp_Rating,Comp_Review_Count,Price_Gap,Rating_Gap
2026-01-01,Aloe vera juice,natural detox drink,Exact,3328,70,1645.7,912,2,32.59,23.51,16.46,35.27,100.0,20.0,0.0394,0.0212,456,470,216,Weekday,16.46,3.8,4.4,1061,-14,-0.6000000000000005
2026-01-01,Aloe vera juice,organic aloe vera,Phrase,2336,23,397.21,0,0,18.82,17.27,12.09,25.91,0.0,20.0,0.0327,0.01,456,463,71,Weekday,12.09,3.8,4.7,3625,-7,-0.9000000000000004
2026-01-01,Aloe vera juice,natural detox drink,Broad,1258,14,186.62,0,0,18.61,13.33,9.33,20.0,0.0,20.0,0.0417,0.0119,456,433,85,Weekday,9.33,3.8,4.1,3265,23,-0.2999999999999998
2026-01-01,Graviola,soursop extract,Exact,1508,16,406.72,0,0,28.89,25.42,17.79,38.13,0.0,20.0,0.0597,0.0111,599,636,266,Weekday,17.79,4.0,3.7,3231,-37,0.2999999999999998
2026-01-01,Graviola,graviola capsules,Phrase,2105,26,449.8,599,1,23.51,17.3,12.11,25.95,75.09,20.0,0.0497,0.0128,599,596,110,Weekday,12.11,4.0,4.0,4635,3,0.0
2026-01-01,Graviola,graviola capsules,Broad,2377,49,978.53,1198,2,25.63,19.97,13.98,29.95,81.68,20.0,0.0538,0.0209,599,557,129,Weekday,13.98,4.0,3.6,335,42,0.3999999999999999
2026-01-01,Eco ensulin,natural diabetic care,Exact,1849,19,358.15,1191,1,24.45,18.85,13.2,28.28,30.07,20.0,0.0769,0.0103,1191,1240,195,Weekday,18.32,4.2,4.6,969,-49,-0.39999999999999947
2026-01-01,Eco ensulin,natural diabetic care,Phrase,3988,52,696.28,4764,4,15.23,13.39,9.37,20.09,14.62,20.0,0.0918,0.0132,1191,1169,41,Weekday,20.09,4.2,3.5,100,22,0.7000000000000002
2026-01-01,Eco ensulin,sugar control drink,Broad,2615,39,1324.83,2382,2,37.19,33.97,23.78,50.95,55.62,20.0,0.0708,0.0152,1191,1219,294,Weekday,23.78,4.2,4.8,578,-28,-0.5999999999999996
2026-01-01,Curcumin C3,curcumin with piperine,Exact,1975,37,857.66,1916,2,25.25,23.18,16.23,34.77,44.76,20.0,0.0706,0.0187,958,984,133,Weekday,16.23,4.5,3.6,4405,-26,0.8999999999999999
2026-01-01,Curcumin C3,joint pain relief,Phrase,3294,45,1534.05,1916,2,41.93,34.09,23.86,51.14,80.07,20.0,0.0525,0.0139,958,983,276,Weekday,23.86,4.5,4.5,2403,-25,0.0
2026-01-01,Curcumin C3,anti-inflammatory supplement,Broad,3290,59,1508.63,3832,4,32.31,25.57,17.9,38.36,39.37,20.0,0.0696,0.0182,958,994,236,Weekday,17.9,4.5,3.7,1526,-36,0.7999999999999998
2026-01-01,Fruit Drink,refreshing fruit punch,Exact,1880,33,819.72,603,1,33.04,24.84,17.39,37.26,100.0,20.0,0.048,0.0176,603,643,199,Weekday,17.39,4.0,4.3,430,-40,-0.2999999999999998
2026-01-01,Fruit Drink,refreshing fruit punch,Phrase,2416,30,453.3,603,1,21.41,15.11,10.58,22.66,75.17,20.0,0.044,0.0125,603,563,19,Weekday,10.58,4.0,4.1,4044,40,-0.09999999999999964
2026-01-01,Fruit Drink,vitamin c drink,Broad,3810,60,1994.4,1206,2,44.32,33.24,23.27,49.86,100.0,20.0,0.0411,0.0159,603,554,55,Weekday,23.27,4.0,4.2,1418,49,-0.20000000000000018
2026-01-02,Aloe vera juice,aloe drink for health,Exact,3059,45,505.35,896,2,15.92,11.23,7.86,16.84,56.4,20.0,0.0467,0.0149,448,415,127,Weekday,7.86,3.8,3.8,1038,33,0.0
2026-01-02,Aloe vera juice,natural detox drink,Phrase,3183,70,1764.0,448,1,35.66,25.2,17.64,37.8,100.0,20.0,0.0266,0.022,448,414,257,Weekday,17.64,3.8,4.8,4363,34,-1.0
2026-01-02,Aloe vera juice,organic aloe vera,Broad,4145,45,1054.8,448,1,25.27,23.44,16.41,35.16,100.0,20.0,0.0321,0.011,448,449,67,Weekday,16.41,3.8,4.7,1555,-1,-0.9000000000000004
2026-01-02,Graviola,natural immunity booster,Exact,3449,82,1281.66,2428,4,20.12,15.63,10.94,23.45,52.79,20.0,0.0525,0.024,607,572,120,Weekday,10.94,4.0,3.7,2209,35,0.2999999999999998
2026-01-02,Graviola,graviola capsules,Phrase,1261,13,234.13,0,0,25.17,18.01,12.61,27.02,0.0,20.0,0.0321,0.0104,607,568,78,Weekday,12.61,4.0,4.7,479,39,-0.7000000000000002
2026-01-02,Graviola,graviola capsules,Broad,1185,9,239.31,0,0,32.15,26.59,18.61,39.88,0.0,20.0,0.04,0.0084,607,567,113,Weekday,18.61,4.0,4.3,2923,40,-0.2999999999999998
2026-01-02,Eco ensulin,ayurvedic insulin support,Exact,1870,42,1272.6,3582,3,42.51,30.3,21.21,45.45,35.53,20.0,0.0747,0.0229,1194,1241,87,Weekday,21.21,4.2,4.7,1368,-47,-0.5
2026-01-02,Eco ensulin,natural diabetic care,Phrase,2727,24,738.48,2388,2,43.56,30.77,21.54,46.16,30.92,20.0,0.0928,0.0092,1194,1222,161,Weekday,22.16,4.2,3.7,619,-28,0.5
2026-01-02,Eco ensulin,ayurvedic insulin support,Broad,3581,55,972.95,4776,4,23.24,17.69,12.38,26.54,20.37,20.0,0.0733,0.0154,1194,1147,146,Weekday,17.5,4.2,4.3,1890,47,-0.09999999999999964
2026-01-02,Curcumin C3,anti-inflammatory supplement,Exact,3292,25,727.0,957,1,39.29,29.08,20.36,43.62,75.97,20.0,0.0631,0.0077,957,948,221,Weekday,20.36,4.5,3.8,4250,9,0.7000000000000002
2026-01-02,Curcumin C3,turmeric extract,Phrase,2705,25,903.0,957,1,39.22,36.12,25.28,54.18,94.36,20.0,0.0511,0.0093,957,988,60,Weekday,25.28,4.5,4.6,473,-31,-0.09999999999999964
2026-01-02,Curcumin C3,turmeric extract,Broad,970,10,205.6,0,0,26.68,20.56,14.39,30.84,0.0,20.0,0.0647,0.0113,957,984,250,Weekday,14.39,4.5,3.9,897,-27,0.6000000000000001
2026-01-02,Fruit Drink,vitamin c drink,Exact,2669,31,935.58,596,1,35.46,30.18,21.13,45.27,100.0,20.0,0.0494,0.0117,596,630,261,Weekday,21.13,4.0,4.2,121,-34,-0.20000000000000018
2026-01-02,Fruit Drink,mixed fruit juice,Phrase,3285,28,850.64,596,1,33.96,30.38,21.27,45.57,100.0,20.0,0.053,0.0086,596,606,32,Weekday,21.27,4.0,3.9,4056,-10,0.10000000000000009
2026-01-02,Fruit Drink,refreshing fruit punch,Broad,3598,46,960.94,1192,2,22.72,20.89,14.62,31.34,80.62,20.0,0.0584,0.0129,596,600,204,Weekday,14.62,4.0,3.6,2430,-4,0.3999999999999999
2026-01-03,Aloe vera juice,pure aloe juice,Exact,4075,25,339.0,441,1,16.64,13.56,9.49,20.34,76.87,20.0,0.0494,0.0062,441,415,276,Weekend,9.49,3.8,3.7,2245,26,0.09999999999999964
2026-01-03,Aloe vera juice,natural detox drink,Phrase,5963,131,4833.9,2205,5,42.68,36.9,25.83,55.35,100.0,20.0,0.0404,0.0221,441,445,293,Weekend,25.83,3.8,4.3,4748,-4,-0.5
2026-01-03,Aloe vera juice,natural detox drink,Broad,4188,42,699.3,882,2,21.53,16.65,11.65,24.97,79.29,20.0,0.0479,0.0103,441,440,296,Weekend,11.65,3.8,3.9,3738,1,-0.10000000000000009
2026-01-03,Graviola,graviola capsules,Exact,3164,37,502.83,604,1,17.8,13.59,9.51,20.38,83.25,20.0,0.0467,0.0118,604,571,122,Weekend,9.51,4.0,4.0,4206,33,0.0
2026-01-03,Graviola,soursop extract,Phrase,2236,54,930.42,1208,2,24.6,17.23,12.06,25.84,77.02,20.0,0.0438,0.0245,604,622,49,Weekend,12.06,4.0,4.4,1436,-18,-0.40000000000000036
2026-01-03,Graviola,graviola capsules,Broad,5314,80,2497.6,1812,3,35.12,31.22,21.85,46.83,100.0,20.0,0.0391,0.0152,604,595,29,Weekend,21.85,4.0,4.5,4371,9,-0.5
2026-01-03,Eco ensulin,natural diabetic care,Exact,4503,52,921.44,4800,4,21.61,17.72,12.4,26.58,19.2,20.0,0.0776,0.0116,1200,1236,5,Weekend,18.62,4.2,4.5,2013,-36,-0.2999999999999998
2026-01-03,Eco ensulin,ayurvedic insulin support,Phrase,6303,154,4772.46,12000,10,35.25,30.99,21.69,46.48,39.77,20.0,0.0684,0.0245,1200,1184,224,Weekend,21.69,4.2,4.7,2403,16,-0.5
2026-01-03,Eco ensulin,natural diabetic care,Broad,5010,59,1195.34,4800,4,21.75,20.26,14.18,30.39,24.9,20.0,0.0827,0.0119,1200,1187,86,Weekend,19.85,4.2,4.0,2991,13,0.20000000000000018
2026-01-03,Curcumin C3,anti-inflammatory supplement,Exact,4620,33,844.14,943,1,32.53,25.58,17.91,38.37,89.52,20.0,0.0509,0.0072,943,912,274,Weekend,17.91,4.5,4.3,1444,31,0.20000000000000018
2026-01-03,Curcumin C3,turmeric extract,Phrase,4381,90,2794.5,3772,4,37.5,31.05,21.73,46.58,74.09,20.0,0.0448,0.0207,943,931,12,Weekend,21.73,4.5,4.7,610,12,-0.20000000000000018
2026-01-03,Curcumin C3,turmeric extract,Broad,5526,70,1773.8,3772,4,35.18,25.34,17.74,38.01,47.03,20.0,0.0638,0.0127,943,921,90,Weekend,17.74,4.5,3.7,1065,22,0.7999999999999998
2026-01-03,Fruit Drink,mixed fruit juice,Exact,2697,46,1642.66,1206,2,43.09,35.71,25.0,53.56,100.0,20.0,0.0439,0.0172,603,582,174,Weekend,25.0,4.0,4.2,200,21,-0.20000000000000018
2026-01-03,Fruit Drink,vitamin c drink,Phrase,2282,53,2118.41,603,1,42.25,39.97,27.98,59.95,100.0,20.0,0.034,0.0234,603,583,96,Weekend,27.98,4.0,4.7,4504,20,-0.7000000000000002
2026-01-03,Fruit Drink,refreshing fruit punch,Broad,4546,75,2864.25,1206,2,43.52,38.19,26.73,57.28,100.0,20.0,0.037,0.0165,603,613,248,Weekend,26.73,4.0,4.7,2579,-10,-0.7000000000000002
2026-01-04,Aloe vera juice,organic aloe vera,Exact,6416,90,1596.6,1812,4,24.33,17.74,12.42,26.61,88.11,20.0,0.0498,0.0142,453,451,251,Weekend,12.42,3.8,3.8,2003,2,0.0
2026-01-04,Aloe vera juice,natural detox drink,Phrase,5441,57,1462.05,453,1,31.03,25.65,17.95,38.47,100.0,20.0,0.0322,0.0106,453,435,117,Weekend,17.95,3.8,4.6,2576,18,-0.7999999999999998
2026-01-04,Aloe vera juice,pure aloe juice,Broad,2191,40,1097.2,906,2,35.12,27.43,19.2,41.14,100.0,20.0,0.0577,0.0186,453,490,17,Weekend,19.2,3.8,3.6,627,-37,0.19999999999999973
